indexx0,x1,layer,weight,rho,delta,nh,isSeed,clusterId
0,-51.86,-64.09,0,1,16,999,-1,0,-1
1,171.87,-154.07,0,1,23.5,999,-1,0,-1
2,-108.29,15.32,0,1,25,999,-1,1,0
3,175.75,-161.11,0,1,20,999,-1,0,-1
4,-111.26,129.91,0,1,12.5,999,-1,0,-1
5,165.02,-115.51,0,1,17,999,-1,0,-1
6,-53.66,61.4,0,1,25.5,999,-1,1,1
7,-139.17,188.11,0,1,5,999,-1,0,-1
8,-110.05,32.22,0,1,22,999,-1,0,-1
9,175.94,-159.84,0,1,22.5,999,-1,0,-1
10,-103.8,13.96,0,1,24,999,-1,0,-1
11,181.01,-188.69,0,1,8,999,-1,0,-1
12,-101.71,22.5,0,1,24,999,-1,0,-1
13,-116.16,127.68,0,1,10.5,999,-1,0,-1
14,-79.17,88.97,0,1,20.5,999,-1,0,-1
15,-16.93,21.15,0,1,14.5,999,-1,0,-1
16,-65.61,-69.2,0,1,8,999,-1,0,-1
17,76.04,-9.57,0,1,7.5,999,-1,0,-1
18,-100.32,12.87,0,1,24.5,999,-1,0,-1
19,168.81,-122.36,0,1,18.5,999,-1,0,-1
20,-37.49,61.72,0,1,24.5,999,-1,0,-1
21,-78.55,91.43,0,1,23,999,-1,0,-1
22,-111.72,159.34,0,1,9.5,999,-1,0,-1
23,106.52,-85.72,0,1,15.5,999,-1,0,-1
24,-92.02,106.33,0,1,25,999,-1,1,2
25,-110.99,0.48,0,1,21,999,-1,0,-1
26,167.88,-132.26,0,1,25.5,999,-1,1,3
27,-63.53,-55.65,0,1,17.5,999,-1,0,-1
28,-97.34,132.28,0,1,19,999,-1,0,-1
29,219.79,-213.65,0,1,5.5,999,-1,0,-1
30,-28.96,-3.64,0,1,2,999,-1,0,-1
31,84.57,-47.62,0,1,10,999,-1,0,-1
32,-103.57,36.51,0,1,17.5,999,-1,0,-1
33,-24.9,18.55,0,1,12,999,-1,0,-1
34,175.83,-140.58,0,1,22,999,-1,0,-1
35,154.07,-122.77,0,1,23,999,-1,0,-1
36,-140.31,48.16,0,1,8.5,999,-1,0,-1
37,190.81,-166.44,0,1,16,999,-1,0,-1
38,-4.19,16.84,0,1,12.5,999,-1,0,-1
39,-94.04,-13.05,0,1,25.5,999,-1,1,4
40,95.24,-58.56,0,1,18.5,999,-1,0,-1
41,-53.8,51.74,0,1,18,999,-1,0,-1
42,187.09,-158.93,0,1,18.5,999,-1,0,-1
43,127.22,-77.22,0,1,25,999,-1,1,5
44,186.61,-172.35,0,1,17,999,-1,0,-1
45,-101.16,131.1,0,1,18.5,999,-1,0,-1
46,-72.95,83.15,0,1,25,999,-1,1,6
47,-97.06,-5.18,0,1,27,999,-1,1,7
48,-161.15,104.19,0,1,7,999,-1,0,-1
49,-10.02,9.48,0,1,12,999,-1,0,-1
50,-126.79,62.31,0,1,11,999,-1,0,-1
51,-43.89,-59.22,0,1,15.5,999,-1,0,-1
52,-98.46,-5.84,0,1,27.5,999,-1,1,8
53,-73.14,-15.79,0,1,19,999,-1,0,-1
54,160.67,-86.58,0,1,6,999,-1,0,-1
55,-55.9,-57.92,0,1,19,999,-1,0,-1
56,-96.79,15.95,0,1,24.5,999,-1,0,-1
57,25.75,34.99,0,1,1,999,-1,0,-1
58,-160.73,101.17,0,1,7,999,-1,0,-1
59,-82.12,112.96,0,1,29,999,-1,1,9
60,183.96,-153.18,0,1,18.5,999,-1,0,-1
61,-44.71,71.94,0,1,24.5,999,-1,0,-1
62,-59.66,92.9,0,1,25.5,999,-1,1,10
63,-60.87,94.89,0,1,24,999,-1,0,-1
64,-97.49,2.79,0,1,28.5,999,-1,1,11
65,-18.16,29.48,0,1,17,999,-1,0,-1
66,-43.31,-56.36,0,1,14.5,999,-1,0,-1
67,-49.27,74.55,0,1,27,999,-1,1,12
68,166.78,-105.16,0,1,11.5,999,-1,0,-1
69,-76.4,114.46,0,1,26.5,999,-1,1,13
70,-85.1,126.03,0,1,25.5,999,-1,1,14
71,131.02,-77.86,0,1,22,999,-1,0,-1
72,-74.89,-41.02,0,1,21.5,999,-1,0,-1
73,-72.81,116.09,0,1,23.5,999,-1,0,-1
74,-1.31,17.28,0,1,11,999,-1,0,-1
75,-108.14,40.38,0,1,21,999,-1,0,-1
76,167.1,-125.66,0,1,23.5,999,-1,0,-1
77,-139.62,40.72,0,1,12.5,999,-1,0,-1
78,-87.89,103.52,0,1,26.5,999,-1,1,15
79,-93.73,125.53,0,1,26.5,999,-1,1,16
80,116.97,-82.76,0,1,26.5,999,-1,1,17
81,-103.69,36.7,0,1,17.5,999,-1,0,-1
82,-34.76,51.54,0,1,24.5,999,-1,0,-1
83,-157.48,102.05,0,1,7,999,-1,0,-1
84,-76.09,130.53,0,1,15.5,999,-1,0,-1
85,-124.54,47.15,0,1,18,999,-1,0,-1
86,-122.47,148.29,0,1,11,999,-1,0,-1
87,-16.91,25.95,0,1,17.5,999,-1,0,-1
88,14.11,-3.9,0,1,5,999,-1,0,-1
89,-77.91,132.6,0,1,14.5,999,-1,0,-1
90,-104.54,26.51,0,1,23,999,-1,0,-1
91,-128.34,51.19,0,1,16.5,999,-1,0,-1
92,-87.81,-35.03,0,1,15,999,-1,0,-1
93,-97.02,24.48,0,1,20,999,-1,0,-1
94,-61.97,62.99,0,1,17,999,-1,0,-1
95,-124.68,45.17,0,1,19,999,-1,0,-1
96,-74.24,-36.15,0,1,22,999,-1,0,-1
97,-46.19,-55.46,0,1,16,999,-1,0,-1
98,-36.85,-79.69,0,1,9.5,999,-1,0,-1
99,169.16,-143.03,0,1,27,999,-1,1,18
100,228.74,-219.73,0,1,3.5,999,-1,0,-1
101,185.29,-149.62,0,1,17.5,999,-1,0,-1
102,-68.05,122.34,0,1,15.5,999,-1,0,-1
103,-59.42,71.08,0,1,26,999,-1,1,19
104,-98.72,16.77,0,1,24,999,-1,0,-1
105,150.8,-101.8,0,1,26,999,-1,1,20
106,-47.72,14.19,0,1,2.5,999,-1,0,-1
107,144.47,-145.54,0,1,7,999,-1,0,-1
108,120.15,-73.05,0,1,24.5,999,-1,0,-1
109,-49.2,-35.19,0,1,16.5,999,-1,0,-1
110,150.67,-123.45,0,1,23.5,999,-1,0,-1
111,-97.93,-13.04,0,1,21.5,999,-1,0,-1
112,-141.25,43.2,0,1,8,999,-1,0,-1
113,183.99,-177.34,0,1,14,999,-1,0,-1
114,-111.71,5.11,0,1,22,999,-1,0,-1
115,179.22,-158.96,0,1,23.5,999,-1,0,-1
116,-12.24,10.12,0,1,12.5,999,-1,0,-1
117,-130.71,24.61,0,1,8.5,999,-1,0,-1
118,-76.86,-7.56,0,1,20,999,-1,0,-1
119,183.85,-174.74,0,1,16.5,999,-1,0,-1
120,160.24,-155.4,0,1,16,999,-1,0,-1
121,-58.71,-40.54,0,1,25.5,999,-1,1,21
122,-14.38,20.9,0,1,15,999,-1,0,-1
123,-44.38,63.83,0,1,26.5,999,-1,1,22
124,-66.11,73.25,0,1,20.5,999,-1,0,-1
125,150.05,-106.24,0,1,26.5,999,-1,1,23
126,-86.7,127.13,0,1,23,999,-1,0,-1
127,105.5,-22.27,0,1,6,999,-1,0,-1
128,-101.8,11.9,0,1,26,999,-1,1,24
129,-0.83,1.32,0,1,9,999,-1,0,-1
130,-30.17,-79.35,0,1,10,999,-1,0,-1
131,-29.77,-94.97,0,1,11.5,999,-1,0,-1
132,-107.18,-15.56,0,1,12.5,999,-1,0,-1
133,-85.73,-17.01,0,1,23.5,999,-1,0,-1
134,-130.41,147.72,0,1,6.5,999,-1,0,-1
135,-99.07,8.36,0,1,27.5,999,-1,1,25
136,86.95,-63.58,0,1,12.5,999,-1,0,-1
137,-12.83,34.26,0,1,15.5,999,-1,0,-1
138,-92.92,-21.73,0,1,20,999,-1,0,-1
139,-119.21,186.61,0,1,4.5,999,-1,0,-1
140,-94.48,132.1,0,1,21.5,999,-1,0,-1
141,-36.14,47.11,0,1,24,999,-1,0,-1
142,182.35,-177.36,0,1,14,999,-1,0,-1
143,-109.71,139.46,0,1,15,999,-1,0,-1
144,-107.6,133.15,0,1,15,999,-1,0,-1
145,158.45,-110.85,0,1,21.5,999,-1,0,-1
146,90.99,-62.62,0,1,14,999,-1,0,-1
147,-105.49,158.09,0,1,9.5,999,-1,0,-1
148,-155.52,61,0,1,5.5,999,-1,0,-1
149,-77.93,1.49,0,1,14.5,999,-1,0,-1
150,-99.93,6.74,0,1,29.5,999,-1,1,26
151,169.57,-139.32,0,1,24.5,999,-1,0,-1
152,-106.76,21.35,0,1,27,999,-1,1,27
153,-55.62,-71.69,0,1,12,999,-1,0,-1
154,82.45,-27.43,0,1,12,999,-1,0,-1
155,-42.53,82.43,0,1,18,999,-1,0,-1
156,-40.95,-84.87,0,1,12,999,-1,0,-1
157,-34.29,76.04,0,1,17,999,-1,0,-1
158,-43.75,53.26,0,1,22,999,-1,0,-1
159,150.87,-113.22,0,1,27,999,-1,1,28
160,-72.53,103.68,0,1,28.5,999,-1,1,29
161,23.73,-35.67,0,1,2.5,999,-1,0,-1
162,-52.43,-32.81,0,1,18.5,999,-1,0,-1
163,-87.68,-15.57,0,1,22,999,-1,0,-1
164,103.52,-61.73,0,1,21,999,-1,0,-1
165,161.09,-154.05,0,1,22.5,999,-1,0,-1
166,-7.48,-2.54,0,1,6.5,999,-1,0,-1
167,-2.31,-137.18,0,1,4,999,-1,0,-1
168,-70.73,115.21,0,1,21.5,999,-1,0,-1
169,191.45,-166.44,0,1,16,999,-1,0,-1
170,200.98,-155.11,0,1,8.5,999,-1,0,-1
171,71.53,-5.94,0,1,5.5,999,-1,0,-1
172,132.76,-104.13,0,1,27,999,-1,1,30
173,194.81,-189.4,0,1,9,999,-1,0,-1
174,-101.16,137.53,0,1,15.5,999,-1,0,-1
175,-35.85,-102.92,0,1,6,999,-1,0,-1
176,123.74,-74.82,0,1,25.5,999,-1,1,31
177,43.31,53.83,0,1,2,999,-1,0,-1
178,-104.28,115.56,0,1,20.5,999,-1,0,-1
179,135.97,-88.58,0,1,31.5,999,-1,1,32
180,-78.34,-19.3,0,1,23.5,999,-1,0,-1
181,196.29,-161.09,0,1,13,999,-1,0,-1
182,165.15,-146.08,0,1,24,999,-1,0,-1
183,153.43,-138.48,0,1,21.5,999,-1,0,-1
184,-61.84,-68.62,0,1,9.5,999,-1,0,-1
185,-67.68,91.94,0,1,26,999,-1,1,33
186,-1.6,-129.2,0,1,4,999,-1,0,-1
187,105.53,-45.28,0,1,14.5,999,-1,0,-1
188,-96.9,107.96,0,1,20.5,999,-1,0,-1
189,87.98,-3.82,0,1,5,999,-1,0,-1
190,123.17,-88.32,0,1,30,999,-1,1,34
191,116.59,-93.14,0,1,19.5,999,-1,0,-1
192,-96.11,135.7,0,1,17,999,-1,0,-1
193,-100.89,108.22,0,1,18,999,-1,0,-1
194,-98.05,-3.29,0,1,29.5,999,-1,1,35
195,-68,-74.75,0,1,6,999,-1,0,-1
196,-13.03,-77.27,0,1,5,999,-1,0,-1
197,-98.14,-16.14,0,1,18.5,999,-1,0,-1
198,-69.93,89.41,0,1,26.5,999,-1,1,36
199,111.24,-88.92,0,1,20,999,-1,0,-1
200,-73.4,-31.43,0,1,26,999,-1,1,37
201,167.18,-144.11,0,1,27.5,999,-1,1,38
202,-112.84,147.99,0,1,13.5,999,-1,0,-1
203,-156.69,65.57,0,1,6,999,-1,0,-1
204,107.56,-90.69,0,1,11.5,999,-1,0,-1
205,128.65,-87.66,0,1,28,999,-1,1,39
206,-11.53,-112.07,0,1,5.5,999,-1,0,-1
207,-90.01,120.17,0,1,28.5,999,-1,1,40
208,99.22,-52.42,0,1,18,999,-1,0,-1
209,-110.73,123.56,0,1,14.5,999,-1,0,-1
210,-11.68,-82.84,0,1,5,999,-1,0,-1
211,-9.5,2.29,0,1,8.5,999,-1,0,-1
212,118.01,-59.34,0,1,19.5,999,-1,0,-1
213,-97.36,99.07,0,1,15,999,-1,0,-1
214,169.39,-136.18,0,1,24.5,999,-1,0,-1
215,-131.64,169.64,0,1,3,999,-1,0,-1
216,135.93,-113.76,0,1,26,999,-1,1,41
217,-22.6,-124.18,0,1,2.5,999,-1,0,-1
218,-55.54,-54.64,0,1,18.5,999,-1,0,-1
219,-41.48,59.74,0,1,21,999,-1,0,-1
220,-18.6,-90.09,0,1,9,999,-1,0,-1
221,169.61,-159.94,0,1,18,999,-1,0,-1
